Algorithm,Nr Configurations,Duration,Train size,Validation size,Performance,coef0,C,gamma,kernel,degree
Grid,3,1.354498,600,300,-,0,0.316227766,0.1,poly,1
Grid,28,10.909554,600,300,-,-34,0.0215443469003,0.0215443469003,poly,2
Grid,117,53.603992,600,300,-,-50,0.0056234132519,0.01,poly,2
Grid,336,132.447076,600,300,-,-60,0.00251188643151,0.0063095734448,poly,2
Grid,3,3.677508,1000,500,-,0,0.316227766017,0.1,poly,1
Grid,28,34.668638,1000,500,-,-34,0.0215443469003,0.0215443469003,poly,2
Grid,117,118.871667,1000,500,-,-50,0.0056234132519,0.01,poly,2
Grid,336,340.573959,1000,500,-,-60,0.00251188643151,0.0063095734448,poly,2
Grid,775,792.261441,1000,500,-,-67,0.00146779926762,0.00464158883361,poly,2
Grid,3,14.083076,2000,1000,-,0,0.316227766017,0.1,poly,1
Grid,28,116.085468,2000,1000,-,-34,0.0215443469003,0.0215443469003,poly,2
Grid,117,424.056763,2000,1000,-,-50,0.0056234132519,0.01,poly,2
Grid,336,1151.208378,2000,1000,-,-60,0.00251188643151,0.0063095734448,poly,2
Grid,775,2562.411011,2000,1000,-,-67,0.00146779926762,0.00464158883361,poly,2
Grid,3,87.620493,5000,2000,-,0,0.316227766017,0.1,poly,1
Grid,28,738.044577,5000,2000,-,-34,0.0215443469003,0.0215443469003,poly,2
Grid,117,2606.074585,5000,2000,-,-50,0.0056234132519,0.01,poly,2
Grid,336,6288.75943,5000,2000,-,-60,0.00251188643151,0.0063095734448,poly,2
Grid,775,13374.356121,5000,2000,-,-67,0.00146779926762,0.00464158883361,poly,2
Grid,3,91.053205,5000,2000,-,0,0.316227766017,0.1,poly,1
Random,1,0.549457,600,300,-,49.2059156763,0.0639838818218,1.75744307778,sigmoid,3
Random,1,1.663401,1000,500,-,-24.4019452526,0.00105989022025,0.00203104970158,rbf,3
Random,1,6.795368,2000,1000,-,19.1464850305,717.713268509,3.06447168166,rbf,3
Random,1,45.074604,5000,2000,-,44.8405790724,103.882361661,0.0168586417786,rbf,1
Random,5,2.43388,600,300,-,72.5395858775,0.894262088925,0.185445799212,poly,2
Random,5,6.440635,1000,500,-,55.0071343961,508.958257139,1.49132185118,poly,2
Random,5,30.654302,2000,1000,-,25.4782235484,0.000208180546112,6.83544087148,poly,1
Random,5,120.115631,5000,2000,-,-31.2976177285,142.511737037,0.458782715376,poly,2
Random,10,5.271508,600,300,-,-72.2174236938,180.182100793,0.0545070307148,poly,1
Random,10,14.023401,1000,500,-,-27.9291794106,13.1499162358,0.0668090913544,poly,1
Random,10,56.753494,2000,1000,-,-12.9763530104,642.143863881,0.116124868352,poly,2
Random,10,288.614131,5000,2000,-,-26.3096549736,0.025089898758,0.0120986425061,poly,2
Random,20,12.149019,600,300,-,-27.5426575538,0.0469742729558,0.437958299461,poly,2
Random,20,22.263934,1000,500,-,-40.9587759055,135.809195278,3.29553844271,poly,2
Random,20,115.35314,2000,1000,-,83.6541428583,0.000407035326251,0.0332338144591,poly,2
Random,20,708.76341,5000,2000,-,54.0680428832,4.83654589698,0.00145962598138,poly,2
Random,50,31.186859,600,300,-,-6.50364950032,0.135272729913,0.00198851877518,poly,2
Random,50,84.16995,1000,500,-,71.9384758035,0.732077520645,1.92267094507,poly,2
Random,50,303.763258,2000,1000,-,77.4048645891,0.850156326225,5.32645850037,poly,2
Random,50,2248.78245,5000,2000,-,91.7037064903,483.223890248,2.5742583034,poly,2
Random,100,64.172464,600,300,-,89.0126516116,0.000660946633246,2.7436678062,poly,2
Random,100,151.848612,1000,500,-,43.9401506167,1.53958706531,0.00424299376133,poly,2
Random,100,540.77766,2000,1000,-,45.8366872217,0.00685539303556,0.0642628453983,poly,2
Random,100,3452.816816,5000,2000,-,-68.8197108848,521.313260274,9.0213265834,poly,2
Random,200,101.840476,600,300,-,17.9229768467,0.0114941850832,0.627438975081,poly,2
Random,200,280.438581,1000,500,-,-70.4626075579,0.0719731989261,0.00139613288883,poly,2
Random,200,1144.5225,2000,1000,-,51.757718834,45.0153100506,0.100355874378,poly,2
Random,200,6803.980696,5000,2000,-,-34.7124036421,84.5548559,0.0152221225692,poly,2
